start_city,start_cnt
230124,7
230125,6
230126,5
230127,2
230128,4
230129,6
230182,14
230183,24
230184,26
230200,413
230202,2
230203,3
230204,1
230205,1
230206,1
230207,1
230208,2
230221,8
230223,8
230224,7
230225,11
230229,5
230230,4
230231,3
230281,11
230300,82
230302,1
230307,1
230381,4
230382,2
230400,42
230421,1
230422,1
230500,68
230521,5
230523,6
230524,1
230600,306
230602,7
230603,3
230604,2
230606,3
230621,6
230622,3
230623,2
230624,2
230700,53
230702,3
230703,2
230712,1
230781,3
230800,152
230804,1
230811,1
230826,3
230833,2
230881,6
230882,11
230900,44
230921,2
231000,179
231024,1
231025,4
231081,23
231083,3
231084,6
231100,81
231102,2
231121,9
231123,1
231124,3
231181,7
231182,4
231200,404
231202,8
231221,5
231222,6
231223,6
231224,3
231225,5
231226,3
231281,12
231282,41
231283,11
232700,20
232701,8
232702,2
232703,1
232704,1
232721,1
232722,2
232723,2
310000,892
310100,63943
310101,73
310103,24
310104,71
310105,54
310106,22
310107,164
310108,23
310109,36
310110,86
310112,1268
310113,2626
310114,3330
310115,2905
310116,1386
310117,2091
310118,1805
310120,1934
310130,470
310131,68
320000,27087
320100,26192
320102,89
320103,10
320104,33
320105,50
320106,16
320107,19
320111,975
320113,953
320114,122
320115,1813
320116,1290
320124,1080
320125,548
320200,49464
320202,44
320203,77
320204,119
320205,758
320206,688
320211,203
320281,4772
320282,6130
320300,17744
320302,65
320303,46
320304,64
320305,226
320311,33
320321,1571
320322,874
320323,203
320324,1478
320381,2705
320382,2357
320400,33452
320402,88
320404,181
320405,139
320411,624
320412,1034
320481,1847
320482,744
320500,51636
320502,49
320503,50
320504,177
320505,300
320506,1154
320507,865
320581,4019
320582,5080
320583,5846
320584,3868
320585,4371
320600,17552
320602,137
320611,138
320621,1195
320623,513
320681,853
320682,1102
320683,342
320684,570
320700,9902
320703,83
320705,71
320706,85
320721,378
320722,780
320723,291
320724,384
320800,11423
320802,69
320803,146
320804,186
320811,63
320826,381
320829,226
320830,985
320831,573
320900,13732
320902,188
320903,150
320921,504
320922,403
320923,458
320924,386
320925,364
320981,1419
320982,874
321000,13307
321002,119
321003,148
321011,45
321023,979
321081,588
321084,1121
321088,377
321100,13154
321102,78
321111,50
321112,135
321181,889
321182,764
321183,739
321200,12813
321202,122
321203,178
321281,1221
321282,1112
321283,628
321284,428
321300,13531
321302,284
321311,167
321322,3160
321323,712
321324,806
330000,17944
330100,39600
330102,109
330103,350
330104,820
330105,174
330106,156
330108,185
330109,6046
330110,1889
330122,1074
330127,343
330182,1317
330183,2392
330185,1014
330200,24250
330203,108
330204,147
330205,355
330206,1206
330211,479
330212,646
330225,665
330226,798
330281,1959
330282,2970
330283,402
330300,14798
330302,68
330303,226
330304,265
330322,32
330324,142
330326,174
330327,480
330328,25
330329,48
330381,369
330382,507
330400,21117
330402,230
330411,252
330421,921
330424,439
330481,1204
330482,616
330483,941
330500,15594
330502,260
330503,999
330521,1314
330522,1179
330523,635
330600,15001
330602,215
330621,482
330624,413
330681,1580
330682,1207
330683,663
330700,19039
330702,231
330703,265
330723,371
330726,260
330727,114
330781,551
330782,2455
330783,728
330784,1252
330800,7845
330802,83
330803,105
330822,164
330824,99
330825,422
330881,266
330900,1188
330902,64
330903,27
330921,33
330922,13
331000,15193
331002,207
331003,346
331004,487
331021,277
331022,283
331023,299
331024,224
331081,291
331082,457
331100,3408
331102,99
331121,87
331122,148
331123,97
331124,74
331125,49
331126,75
331127,26
331181,130
340000,8565
340100,22278
340102,228
340103,84
340104,135
340111,88
340121,272
340122,286
340123,216
340200,11258
340202,29
340203,67
340207,140
340208,108
340221,189
340222,199
340223,216
340300,8480
340302,33
340303,26
340304,43
340311,95
340321,211
340322,212
340323,194
340400,3276
340402,21
340403,32
340404,33
340405,27
340406,49
340421,148
340500,6678
340502,15
340503,28
340504,37
340521,176
340600,4065
340602,17
340603,17
340604,20
340621,186
340700,3091
340702,21
340703,9
340711,15
340721,38
340800,5328
340802,17
340803,13
340811,48
340822,121
340823,63
340824,102
340825,87
340826,224
340827,103
340828,118
340881,370
341000,1767
341002,36
341003,33
341004,16
341021,32
341022,15
341023,10
341024,17
341100,10255
341102,97
341103,99
341122,241
341124,248
341125,395
341126,726
341181,1273
341182,411
341200,8422
341202,56
341203,32
341204,40
341221,294
341222,399
341225,159
341226,400
341282,401
341300,8164
341302,272
341321,1806
341322,489
341323,522
341324,548
341400,3565
341402,45
341421,560
341422,262
341423,93
341424,197
341500,6974
341502,111
341503,55
341504,162
341521,506
341522,287
341523,424
341524,277
341525,173
341600,7082
341602,186
341621,338
341622,881
341623,391
341700,2811
341702,64
341721,153
341722,21
341723,226
341800,6649
341802,166
341821,284
341822,1144
341823,232
341824,113
341825,85
341881,349
350000,3970
350100,5680
350102,27
350103,9
350104,44
350105,27
350111,21
350121,54
350122,40
350123,125
